gender,height,weight,item,content,size,brightness,color,thickness
남성, 170cm,51kg,에센셜 쿨 코튼 2-PACK 티셔츠,클 줄 알았는데 사이즈 적당하고 핏 좋게 나와서 너무 좋아용!,보통이에요,보통이에요,보통이에요,보통이에요
남성, 175cm,65kg,에센셜 쿨 코튼 2-PACK 티셔츠,후기들보다는 좀 작았던 거 같아서 원래 입던 사이즈로 사길 잘했네요 원래도 로고 작아서 잘 안보이겠지만 생각보다 더 무난해서 좋네요 소재도 여름에 괜찮은 거 같아 잘 입겠습니다,보통이에요,보통이에요,보통이에요,얇아요
남성, 180cm,63kg,에센셜 쿨 코튼 2-PACK 티셔츠,생각보다 끼지 않고 살짝 넉넉해서 좋았습니다. 굿!,보통이에요,밝아요,선명해요,보통이에요
여성, 169cm,62kg,쿨 코튼 2-PACK 티셔츠 화이트,박시한핏 좋아해서 라지시켰는데제 키에도 어깨가 크고 길이가많이기네요기능성원단이래서 샀는데 생각보다 너무 두툼하고여름에 쪄죽을거같아요..,커요,보통이에요,보통이에요,보통이에요
남성, 185cm,78kg,에센셜 쿨 코튼 2-PACK 티셔츠,여름 편하게 입기 너무 좋아요과한 오버핏 싫어해서 라지 선택딱 입니다,보통이에요,보통이에요,보통이에요,보통이에요
남성, 180cm,68kg,에센셜 쿨 코튼 2-PACK 티셔츠,이너로 입어도 괜찮고 티 하나만 입어도 무난무난하게 괜찮은 아이템이네요,보통이에요,밝아요,선명해요,보통이에요
남성, 177cm,70kg,쿨 코튼 2-PACK 티셔츠 화이트,보통 남성분들 2xl해도 오버팟으로 괜찮을거 같아요 살짝 오버핏으로 하실려면 xl추천,커요,어두워요,흐려요,보통이에요
남성, 177cm,70kg,쿨 코튼 2-PACK 티셔츠 화이트,색은 화이트라기보다 연한 베이지 느낌이네요 펑퍼짐하고 좋습니다,커요,어두워요,흐려요,보통이에요
여성, 174cm,64kg,에센셜 쿨 코튼 2-PACK 티셔츠,깔끔하고 편안합니다 어느 옷에도 잘 어울려요오,보통이에요,보통이에요,보통이에요,보통이에요
남성, 176cm,75kg,에센셜 쿨 코튼 2-PACK 티셔츠,여자친구 사줬는데 잘 입습니다. 오버사이즈로 입히니까 귀엽습니다.,보통이에요,보통이에요,보통이에요,보통이에요
남성, 175cm,70kg,에센셜 쿨 코튼 2-PACK 티셔츠,넘흐 이쁘잖아용 질입을ㅋ게뇨 감사합니다 굿굿 대박나세요,커요,보통이에요,선명해요,얇아요
여성, 167cm,50kg,쿨 코튼 2-PACK 티셔츠 화이트,옷 너무 시원하고 재질도 좋고 기본으로 딱이네요~! 여름에 손이 자주 갈거같아요!,보통이에요,보통이에요,보통이에요,보통이에요
남성, 172cm,65kg,에센셜 쿨 코튼 2-PACK 티셔츠,사이즈도 딱 맞고 여름에 더운데 땀도 빨리 마르기도 하고 얇아서 자주 입고 다닙니다. 여름에 한 철 입기에는 좋은 거 같아요.,보통이에요,보통이에요,보통이에요,보통이에요
남성, 165cm,52kg,에센셜 쿨 코튼 2-PACK 티셔츠,싸서 샀는데 좀 얇아요!그리고 왠진 몰라도 좀 어깨가 좁아보임 ㅠ,커요,보통이에요,보통이에요,얇아요
남성, 176cm,65kg,에센셜 쿨 코튼 2-PACK 티셔츠,여름에 단벌로 입고 다니기 너무 좋을 것 같아요 만족합니다!,커요,보통이에요,선명해요,얇아요
여성, 160cm,58kg,에센셜 쿨 코튼 2-PACK 티셔츠,아 기본템 굿이에여수학여행가서 잘입음갠적으로 도톰하니 조왓습니당,보통이에요,보통이에요,보통이에요,두꺼워요
남성, 177cm,85kg,에센셜 쿨 코튼 2-PACK 티셔츠,무난무난하고 좋습니다 오버핏이라 사이즈는 크네요,커요,보통이에요,보통이에요,보통이에요
남성, 180cm,76kg,에센셜 쿨 코튼 2-PACK 티셔츠,약간 오버한 핏으로 입기좋아요 얇아서 여름에 입기 좋습니다,보통이에요,보통이에요,보통이에요,보통이에요
남성, 168cm,65kg,에센셜 쿨 코튼 2-PACK 티셔츠,더운 여름에 단품과 이너로 잘 입고 있습니다!! 다음에 여름 반팔티 필요하면 다시 구매할 것 같아요!,보통이에요,밝아요,선명해요,얇아요
남성, 183cm,81kg,에센셜 쿨 코튼 2-PACK 티셔츠,그냥 편하게 입고 다니기 좋은..흰색은 안에 좀 비치니까 참고하세여,보통이에요,보통이에요,보통이에요,얇아요
여성, 158cm,47kg,에센셜 쿨 코튼 2-PACK 티셔츠,특가할 때 잘 산 것 같아요 재질도 좋고 데일리로 입기 딱 좋아요 💚,보통이에요,보통이에요,보통이에요,보통이에요
남성, 188cm,89kg,에센셜 쿨 코튼 2-PACK 티셔츠,벌써 3개째 구매입니다...재질너무 좋고 시원해요 빨래해도 수축안되네여 굳굳!,보통이에요,보통이에요,보통이에요,보통이에요
남성, 171cm,72kg,에센셜 쿨 코튼 2-PACK 티셔츠,"좀 크고 생각했던 재질이 아니긴 한데, 여름에 가볍게 입기 나쁘지 않아요.",커요,보통이에요,보통이에요,보통이에요
남성, 177cm,65kg,에센셜 쿨 코튼 2-PACK 티셔츠,너무 좋아요!! 기본티 알아보다가 쿨 코튼이라길래 사봤는데 정말 얇고 무엇보다 목이 엄청 짱짱해서 좋아요 :),보통이에요,밝아요,선명해요,얇아요
남성, 179cm,89kg,에센셜 쿨 코튼 2-PACK 티셔츠,너무 마음에 드네요 쿨티라 시워나고 신체 보완고 되요!,커요,밝아요,선명해요,보통이에요
남성, 179cm,81kg,쿨 코튼 2-PACK 티셔츠 화이트,사이즈도 적당항 오버핏에 재질도시원하고 편해요 강추입니다,보통이에요,보통이에요,보통이에요,보통이에요
남성, 173cm,76kg,에센셜 쿨 코튼 2-PACK 티셔츠,얇고 좋아요 다만 처음에 새옷 냄새가 강하니 한번 세탁하고 입으세요,커요,밝아요,선명해요,얇아요
